"metric","time_period","end_timestamp","value","created_date"
"impressions","day","2021-09-22 07:00:00+00",1405,"2021-09-23 12:00:40.54899+00"
"profile_views","day","2021-09-22 07:00:00+00",33,"2021-09-23 12:00:40.54899+00"
"reach","day","2021-09-22 07:00:00+00",1242,"2021-09-23 12:00:40.54899+00"
"website_clicks","day","2021-09-22 07:00:00+00",0,"2021-09-23 12:00:40.54899+00"
"follower_count","day","2021-09-23 07:00:00+00",0,"2021-09-24 12:00:40.242449+00"
"impressions","day","2021-09-23 07:00:00+00",158,"2021-09-24 12:00:40.242449+00"
"profile_views","day","2021-09-23 07:00:00+00",15,"2021-09-24 12:00:40.242449+00"
"reach","day","2021-09-23 07:00:00+00",142,"2021-09-24 12:00:40.242449+00"
"website_clicks","day","2021-09-23 07:00:00+00",0,"2021-09-24 12:00:40.242449+00"
"follower_count","day","2021-09-24 07:00:00+00",0,"2021-09-25 12:00:38.775412+00"
"impressions","day","2021-09-24 07:00:00+00",868,"2021-09-25 12:00:38.775412+00"
"profile_views","day","2021-09-24 07:00:00+00",26,"2021-09-25 12:00:38.775412+00"
"reach","day","2021-09-24 07:00:00+00",329,"2021-09-25 12:00:38.775412+00"
"website_clicks","day","2021-09-24 07:00:00+00",0,"2021-09-25 12:00:38.775412+00"
"follower_count","day","2021-09-25 07:00:00+00",0,"2021-09-26 12:00:41.300585+00"
"impressions","day","2021-09-25 07:00:00+00",529,"2021-09-26 12:00:41.300585+00"
"profile_views","day","2021-09-25 07:00:00+00",23,"2021-09-26 12:00:41.300585+00"
"reach","day","2021-09-25 07:00:00+00",232,"2021-09-26 12:00:41.300585+00"
"website_clicks","day","2021-09-25 07:00:00+00",1,"2021-09-26 12:00:41.300585+00"
"follower_count","day","2021-09-26 07:00:00+00",0,"2021-09-27 12:00:39.617433+00"
"impressions","day","2021-09-26 07:00:00+00",1542,"2021-09-27 12:00:39.617433+00"
"profile_views","day","2021-09-26 07:00:00+00",21,"2021-09-27 12:00:39.617433+00"
"reach","day","2021-09-26 07:00:00+00",1394,"2021-09-27 12:00:39.617433+00"
